GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-demo,nl.amis.smeetsm.demoservice.controller,DemoRestController,71,3,2,0,17,1,4,1,3,1
spring-boot-demo,nl.amis.smeetsm.demoservice,DemoserviceApplication,5,3,0,0,2,1,1,1,1,1
